"codmunres","ano","nascidos_condicoes_ameacadoras","nascidos_estabelecimentos_publicos_sih","internacoes_na_macro_1_a_6_dias","internacoes_fora_macro_1_a_6_dias","internacoes_geral_1_a_6_dias","internacoes_na_macro_7_a_27_dias","internacoes_fora_macro_7_a_27_dias","internacoes_geral_7_a_27_dias","internacoes_na_macro_0_dias","internacoes_fora_macro_0_dias","internacoes_geral_0_dias","internacoes_na_macro_geral","internacoes_fora_macro_geral","internacoes_geral_geral","internacoes_fora_macro_0_dias_internado_uti","internacoes_fora_macro_1_a_6_dias_internado_uti","internacoes_fora_macro_7_a_27_dias_internado_uti","internacoes_na_macro_0_dias_internado_uti","internacoes_na_macro_1_a_6_dias_internado_uti","internacoes_na_macro_7_a_27_dias_internado_uti","internacoes_na_macro_geral_internado_uti","internacoes_fora_macro_geral_internado_uti","internacoes_geral_7_a_27_dias_internado_uti","internacoes_geral_1_a_6_dias_internado_uti","internacoes_geral_0_dias_internado_uti","internacoes_geral_geral_internado_uti"
"110010",2015,31,670,30,0,30,13,0,13,22,0,22,65,0,65,0,0,0,11,5,0,16,0,0,5,11,16
"110010",2016,27,651,59,0,59,17,0,17,19,0,19,95,0,95,0,0,0,11,4,1,16,0,1,4,11,16
"110010",2017,15,740,67,0,67,30,1,31,20,0,20,117,1,118,0,0,1,9,3,0,12,1,1,3,9,13
"110010",2018,12,859,53,0,53,23,0,23,17,0,17,93,0,93,0,0,0,8,3,2,13,0,2,3,8,13
"110010",2019,12,747,48,0,48,29,0,29,27,0,27,104,0,104,0,0,0,10,3,0,13,0,0,3,10,13
"110010",2020,22,805,52,0,52,24,0,24,31,0,31,107,0,107,0,0,0,14,6,1,21,0,1,6,14,21
"110010",2021,8,777,62,2,64,18,0,18,22,0,22,102,2,104,0,0,0,9,5,1,15,0,1,5,9,15
"110011",2012,13,526,6,0,6,5,0,5,11,0,11,22,0,22,0,0,0,7,3,0,10,0,0,3,7,10
"110011",2013,15,606,3,1,4,8,0,8,15,0,15,26,1,27,0,0,0,7,1,0,8,0,0,1,7,8
"110011",2014,10,431,10,0,10,10,0,10,23,0,23,43,0,43,0,0,0,12,3,0,15,0,0,3,12,15
"110011",2015,8,483,9,4,13,8,2,10,18,1,19,35,7,42,0,0,0,9,4,0,13,0,0,4,9,13
"110011",2016,9,560,14,5,19,7,0,7,22,0,22,43,5,48,0,0,0,9,2,0,11,0,0,2,9,11
"110011",2017,18,618,8,2,10,8,0,8,16,1,17,32,3,35,0,0,0,7,0,2,9,0,2,0,7,9
"110011",2018,12,637,19,1,20,12,0,12,22,0,22,53,1,54,0,0,0,13,4,1,18,0,1,4,13,18
"110011",2019,11,665,13,1,14,6,0,6,12,2,14,31,3,34,0,0,0,5,3,1,9,0,1,3,5,9
"110011",2020,14,689,25,6,31,10,0,10,20,0,20,55,6,61,0,0,0,11,5,1,17,0,1,5,11,17
"110011",2021,17,673,8,0,8,5,0,5,22,1,23,35,1,36,1,0,0,14,4,1,19,1,1,4,15,20
"110012",2012,41,1641,24,15,39,24,3,27,25,15,40,73,33,106,14,11,1,0,0,0,0,26,1,11,14,26
"110012",2013,38,1575,40,20,60,18,4,22,50,32,82,108,56,164,18,10,0,0,0,0,0,28,0,10,18,28
"110012",2014,33,1927,62,14,76,36,5,41,35,32,67,133,51,184,21,6,0,0,0,0,0,27,0,6,21,27
"110012",2015,40,1699,79,21,100,30,9,39,14,32,46,123,62,185,20,6,2,0,0,0,0,28,2,6,20,28
"110012",2016,43,1624,60,27,87,19,5,24,3,35,38,82,67,149,24,7,2,0,0,0,0,33,2,7,24,33
"110012",2017,55,1586,43,20,63,20,6,26,15,36,51,78,62,140,22,14,2,0,0,0,0,38,2,14,22,38
"110012",2018,68,1812,39,11,50,28,11,39,12,44,56,79,66,145,27,4,4,0,0,0,0,35,4,4,27,35
"110012",2019,56,1725,43,19,62,14,6,20,38,31,69,95,56,151,15,10,0,0,0,0,0,25,0,10,15,25
"110012",2020,51,1524,50,14,64,12,9,21,24,16,40,86,39,125,10,6,6,0,0,0,0,22,6,6,10,22
"110012",2021,58,1690,94,11,105,15,5,20,60,15,75,169,31,200,12,8,1,0,0,0,0,21,1,8,12,21
"110013",2012,10,544,6,0,6,1,0,1,8,0,8,15,0,15,0,0,0,3,3,0,6,0,0,3,3,6
"110013",2013,13,480,5,0,5,4,0,4,6,0,6,15,0,15,0,0,0,5,0,0,5,0,0,0,5,5
"110013",2014,8,439,2,0,2,2,0,2,8,0,8,12,0,12,0,0,0,3,0,0,3,0,0,0,3,3
"110013",2015,12,217,2,0,2,1,0,1,18,0,18,21,0,21,0,0,0,6,1,0,7,0,0,1,6,7
